calories_out,calories_in,total_sleep_mins,rhr,hrv
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2000,2000,420,60,50
2600,1800,320,70,35
2600,1800,320,70,35
2600,1800,320,70,35
2600,1800,320,70,35
2600,1800,320,70,35
2600,1800,320,70,35
2600,1800,320,70,35
