calories_out,calories_in,total_sleep_mins,rhr,hrv
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2000,2000,420,60,60
2800,2400,520,55,85
2800,2400,520,55,85
2800,2400,520,55,85
2800,2400,520,55,85
2800,2400,520,55,85
2800,2400,520,55,85
2800,2400,520,55,85
